Epoch,Loss,Time
256,2.1547,2021-02-24 01:53:09.469227
257,2.1528,2021-02-24 01:55:11.514079
258,2.1568,2021-02-24 01:57:16.859918
259,2.1450,2021-02-24 01:59:17.972947
260,2.1353,2021-02-24 02:01:22.283377
261,2.1504,2021-02-24 02:03:24.387659
262,2.1293,2021-02-24 02:05:27.274361
263,2.1362,2021-02-24 02:07:33.317472
264,2.1251,2021-02-24 02:09:36.116901
265,2.1441,2021-02-24 02:11:36.339863
266,2.1163,2021-02-24 02:13:38.152680
267,2.1314,2021-02-24 02:15:42.460744
268,2.1314,2021-02-24 02:17:46.650138
269,2.1407,2021-02-24 02:19:47.594527
270,2.1284,2021-02-24 02:21:47.777483
271,2.1188,2021-02-24 02:23:48.288036
272,2.1196,2021-02-24 02:25:47.945133
273,2.1095,2021-02-24 02:27:53.095032
274,2.1160,2021-02-24 02:29:59.208150
275,2.1000,2021-02-24 02:32:01.097000
276,2.1067,2021-02-24 02:34:02.723140
277,2.1061,2021-02-24 02:36:05.204014
278,2.1061,2021-02-24 02:38:06.644755
279,2.1125,2021-02-24 02:40:07.632307
280,2.1122,2021-02-24 02:42:08.559825
281,2.1110,2021-02-24 02:44:11.089691
282,2.0855,2021-02-24 02:46:11.792208
283,2.0955,2021-02-24 02:48:16.319278
284,2.0941,2021-02-24 02:50:15.128669
285,2.0848,2021-02-24 02:52:19.239869
286,2.0997,2021-02-24 02:54:25.535273
287,2.0735,2021-02-24 02:56:27.625959
288,2.0806,2021-02-24 02:58:27.238111
289,2.0780,2021-02-24 03:00:28.894239
290,2.0833,2021-02-24 03:02:29.159116
291,2.0949,2021-02-24 03:04:29.756686
292,2.0808,2021-02-24 03:06:30.141074
293,2.0634,2021-02-24 03:08:32.418423
294,2.0737,2021-02-24 03:10:34.738534
295,2.0773,2021-02-24 03:12:37.387654
296,2.0792,2021-02-24 03:14:41.491870
297,2.0764,2021-02-24 03:16:43.270599
298,2.0707,2021-02-24 03:18:45.762704
299,2.0650,2021-02-24 03:20:45.716358
300,2.0630,2021-02-24 03:22:46.838146
301,2.0688,2021-02-24 03:24:45.577110
302,2.0566,2021-02-24 03:26:48.005599
303,2.0523,2021-02-24 03:28:55.199612
304,2.0631,2021-02-24 03:31:00.517248
305,2.0483,2021-02-24 03:33:04.410438
306,2.0495,2021-02-24 03:35:05.878846
307,2.0618,2021-02-24 03:37:05.813699
308,2.0526,2021-02-24 03:39:10.503564
309,2.0443,2021-02-24 03:41:11.132937
310,2.0408,2021-02-24 03:43:11.750658
311,2.0236,2021-02-24 03:45:13.074730
312,2.0405,2021-02-24 03:47:14.954236
313,2.0391,2021-02-24 03:49:15.555371
314,2.0497,2021-02-24 03:51:15.540084
315,2.0369,2021-02-24 03:53:17.278195
316,2.0232,2021-02-24 03:55:23.361397
317,2.0304,2021-02-24 03:57:26.953758
318,2.0335,2021-02-24 03:59:27.819181
319,2.0247,2021-02-24 04:01:32.014390
320,2.0215,2021-02-24 04:03:35.090473
321,2.0199,2021-02-24 04:05:38.449111
322,2.0379,2021-02-24 04:07:40.470840
323,2.0209,2021-02-24 04:09:41.269919
324,2.0165,2021-02-24 04:11:44.488573
325,2.0110,2021-02-24 04:13:45.901539
326,2.0160,2021-02-24 04:15:51.481725
327,2.0182,2021-02-24 04:17:52.912342
328,2.0005,2021-02-24 04:19:53.301939
329,2.0163,2021-02-24 04:21:54.636797
330,2.0111,2021-02-24 04:23:55.931152
331,2.0095,2021-02-24 04:25:55.111327
332,2.0085,2021-02-24 04:27:56.664332
333,1.9897,2021-02-24 04:29:58.260000
334,2.0011,2021-02-24 04:31:59.094959
335,2.0032,2021-02-24 04:34:01.096384
336,2.0035,2021-02-24 04:36:01.107766
337,1.9985,2021-02-24 04:38:06.476411
338,1.9935,2021-02-24 04:40:07.726105
339,2.0041,2021-02-24 04:42:12.886455
340,1.9887,2021-02-24 04:44:17.254190
341,2.0077,2021-02-24 04:46:21.310771
342,1.9795,2021-02-24 04:48:27.059430
343,1.9909,2021-02-24 04:50:32.985113
344,1.9947,2021-02-24 04:52:34.163445
345,1.9775,2021-02-24 04:54:33.566850
346,1.9857,2021-02-24 04:56:34.337385
347,1.9877,2021-02-24 04:58:33.885461
348,1.9766,2021-02-24 05:00:38.859122
349,1.9743,2021-02-24 05:02:46.516409
350,1.9832,2021-02-24 05:04:54.646863
351,1.9812,2021-02-24 05:06:55.857604
352,1.9802,2021-02-24 05:09:02.493363
353,1.9833,2021-02-24 05:11:01.981552
354,1.9654,2021-02-24 05:13:07.844131
355,1.9564,2021-02-24 05:15:12.883446
